timestamp,open,high,low,close
2018-08-10,1.15608,1.16282,1.13860,1.14115
2018-08-03,1.16600,1.17459,1.15590,1.15650
2018-07-27,1.17338,1.17512,1.16190,1.16590
2018-07-20,1.16828,1.17447,1.15740,1.17180
2018-07-13,1.17499,1.17908,1.16110,1.16843
2018-07-06,1.16736,1.17678,1.15900,1.17462
2018-06-29,1.16689,1.17205,1.15260,1.16839
2018-06-22,1.15945,1.16750,1.15070,1.16536
2018-06-15,1.17715,1.18518,1.15420,1.16090
2018-06-08,1.16623,1.18400,1.16510,1.17677
2018-06-01,1.16888,1.17300,1.15090,1.16588
2018-05-25,1.17664,1.18300,1.16440,1.16500
2018-05-18,1.19472,1.19961,1.17490,1.17699
2018-05-11,1.19598,1.19780,1.18210,1.19415
2018-05-04,1.21213,1.21400,1.19090,1.19585
2018-04-27,1.22800,1.22900,1.20530,1.21250
2018-04-20,1.23285,1.24137,1.22490,1.22864
2018-04-13,1.22739,1.23964,1.22590,1.23283
2018-04-06,1.23172,1.23450,1.22140,1.22825
2018-03-30,1.23668,1.24765,1.22820,1.23230
2018-03-23,1.22852,1.23900,1.22370,1.23524
2018-03-16,1.23104,1.24127,1.22590,1.22850
2018-03-09,1.23453,1.24462,1.22670,1.23054
2018-03-02,1.22881,1.23550,1.21530,1.23170
2018-02-23,1.24150,1.24352,1.22579,1.22940
2018-02-16,1.22518,1.25556,1.22330,1.24110
2018-02-09,1.24310,1.24749,1.22040,1.22515
2018-02-02,1.24153,1.25229,1.23340,1.24570
2018-01-26,1.22586,1.25378,1.22130,1.24224
2018-01-19,1.22026,1.23232,1.21638,1.22195
2018-01-12,1.20314,1.22188,1.19140,1.21991
2018-01-05,1.20020,1.20900,1.19912,1.20260
2017-12-29,1.18580,1.20255,1.18423,1.19940
2017-12-22,1.17457,1.19018,1.17390,1.18600
2017-12-15,1.17693,1.18627,1.17160,1.17490
2017-12-08,1.18691,1.18800,1.17290,1.17686
2017-12-01,1.19350,1.19612,1.18080,1.18971
2017-11-24,1.17652,1.19444,1.17120,1.19310
2017-11-17,1.16568,1.18606,1.16360,1.17875
2017-11-10,1.16151,1.16800,1.15530,1.16630
2017-11-03,1.15949,1.16917,1.15940,1.16050
2017-10-27,1.17617,1.18369,1.15720,1.16060
2017-10-20,1.18067,1.18600,1.17290,1.17830
2017-10-13,1.17391,1.18800,1.17180,1.18199
2017-10-06,1.18107,1.18115,1.16680,1.17259
2017-09-29,1.19221,1.19365,1.17160,1.18130
